,link,valor,condominio,iptu,quartos,tamanho,vagas,banheiros,andar,mobilia,bairro,latitude,longitude,região
120,https://www.quintoandar.com.br/imovel/892803644/comprar/apartamento-3-quartos-vila-industrial-campinas,395.0,650.0,34.0,3,81,1,2,4° a 7° andar,Sem mobília,vila industrial campinas,-22.9127919,-47.0784218,2
121,https://www.quintoandar.com.br/imovel/894264563/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,260.0,460.0,102.0,2,51,1,2,Até 3° andar,Sem mobília,jardim nova europa campinas,-22.9331203,-47.0601647,1
122,https://www.quintoandar.com.br/imovel/892793454/comprar/apartamento-2-quartos-vila-saturnia-campinas,370.0,437.0,68.0,2,47,1,1,12° a 15° andar,Sem mobília,vila saturnia campinas,-22.9142303,-47.0803555,2
123,https://www.quintoandar.com.br/imovel/893995533/comprar/apartamento-2-quartos-vila-joao-jorge-campinas,390.0,600.0,108.0,2,64,1,2,8° a 11° andar,Mobiliado,vila joao jorge campinas,-22.9168483,-47.0616663,2
124,https://www.quintoandar.com.br/imovel/892844226/comprar/apartamento-2-quartos-parque-italia-campinas,265.0,399.0,25.0,2,55,1,1,8° a 11° andar,Sem mobília,parque italia campinas,-22.9182221,-47.0679312,2
125,https://www.quintoandar.com.br/imovel/894409017/comprar/apartamento-2-quartos-vila-saturnia-campinas,400.0,344.0,8.0,2,56,1,2,Até 3° andar,Sem mobília,vila saturnia campinas,-22.9142886,-47.0806206,2
126,https://www.quintoandar.com.br/imovel/893751793/comprar/apartamento-2-quartos-jardim-do-lago-continuacao-campinas,225.0,350.0,50.0,2,51,1,1,4° a 7° andar,Sem mobília,jardim do lago continuacao campinas,-22.9477895,-47.087812,0
127,https://www.quintoandar.com.br/imovel/894436034/comprar/apartamento-2-quartos-loteamento-country-ville-campinas,190.0,300.0,25.0,2,64,1,1,4° a 7° andar,Sem mobília,loteamento country ville campinas,-22.9492851,-47.0965485,0
128,https://www.quintoandar.com.br/imovel/894196903/comprar/apartamento-2-quartos-jardim-pauliceia-campinas,230.0,350.0,44.0,2,67,1,1,Até 3° andar,Sem mobília,jardim pauliceia campinas,-22.9284466,-47.0947507,0
129,https://www.quintoandar.com.br/imovel/894424571/comprar/apartamento-2-quartos-jardim-sao-vicente-campinas,236.2,498.0,60.0,2,56,1,1,Até 3° andar,Sem mobília,jardim sao vicente campinas,-22.9428553,-47.0320321,1
130,https://www.quintoandar.com.br/imovel/894434610/comprar/apartamento-3-quartos-jardim-do-vovo-campinas,260.0,570.0,60.0,3,76,1,1,Até 3° andar,Sem mobília,jardim do vovo campinas,-22.9019915,-47.1034776,0
131,https://www.quintoandar.com.br/imovel/893509786/comprar/apartamento-2-quartos-parque-das-cachoeiras-campinas,230.0,250.0,0.0,2,44,1,1,Até 3° andar,Sem mobília,parque das cachoeiras campinas,-22.9532858,-47.0271275,1
