link,valor,condominio,iptu,quartos,tamanho,vagas,banheiros,andar,mobilia,localização
https://www.quintoandar.com.br/imovel/893418451/comprar/apartamento-2-quartos-vila-mimosa-campinas,305.0,240.0,12x R$ 50,2.0,51.0,1.0,1.0,16° a 19° andar,Sem mobília,"aps?q&layer=c&cbll=0,0"
https://www.quintoandar.com.br/imovel/894461840/comprar/apartamento-2-quartos-jardim-andorinhas-campinas,199.0,500.0,12x R$ 41,2.0,65.0,1.0,1.0,Até 3° andar,Mobiliado,"22.9211828,-47.0176268"
https://www.quintoandar.com.br/imovel/894405334/comprar/apartamento-2-quartos-vila-joao-jorge-campinas,370.0,764.0,12x R$ 60,2.0,77.0,1.0,1.0,8° a 11° andar,Sem mobília,"22.9176365,-47.0559597"
https://www.quintoandar.com.br/imovel/893370100/comprar/apartamento-2-quartos-bosque-campinas,300.0,500.0,12x R$ 78,2.0,82.0,1.0,1.0,Até 3° andar,Mobiliado,"=-22.9095908,-47.04729"
https://www.quintoandar.com.br/imovel/894443092/comprar/apartamento-2-quartos-parque-camelias-campinas,250.0,210.0,12x R$ 55,2.0,57.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9050824,-47.0613327"
https://www.quintoandar.com.br/imovel/894431423/comprar/apartamento-2-quartos-vila-industrial-campinas,280.0,800.0,12x R$ 42,2.0,62.0,1.0,2.0,Até 3° andar,Sem mobília,"22.9112244,-47.0711741"
https://www.quintoandar.com.br/imovel/894296828/comprar/apartamento-2-quartos-jardim-novo-cambui-campinas,275.0,330.0,12x R$ 394,2.0,70.0,1.0,2.0,Até 3° andar,Mobiliado,"-22.886705,-47.0430552"
https://www.quintoandar.com.br/imovel/894363821/comprar/apartamento-2-quartos-parque-industrial-campinas,290.0,250.0,12x R$ 60,2.0,60.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9192736,-47.0845759"
https://www.quintoandar.com.br/imovel/892941216/comprar/apartamento-2-quartos-bosque-campinas,378.0,750.0,12x R$ 125,2.0,78.0,2.0,1.0,Até 3° andar,Sem mobília,"-22.905878,-47.0496801"
https://www.quintoandar.com.br/imovel/893525959/comprar/apartamento-2-quartos-cambui-campinas,350.0,645.0,12x R$ 97,2.0,82.0,1.0,1.0,Até 3° andar,Sem mobília,"22.8878966,-47.0483396"
https://www.quintoandar.com.br/imovel/894441610/comprar/apartamento-2-quartos-bosque-campinas,370.0,750.0,12x R$ 105,2.0,97.0,1.0,3.0,4° a 7° andar,Sem mobília,"22.9118445,-47.0543126"
https://www.quintoandar.com.br/imovel/893342885/comprar/apartamento-2-quartos-jardim-do-lago-continuacao-campinas,235.0,270.0,12x R$ 31,2.0,52.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9482257,-47.0869384"
https://www.quintoandar.com.br/imovel/894425009/comprar/apartamento-2-quartos-jardim-pauliceia-campinas,217.0,490.0,12x R$ 34,2.0,68.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9175036,-47.1015699"
https://www.quintoandar.com.br/imovel/894413400/comprar/apartamento-2-quartos-vila-industrial-campinas,385.0,450.0,12x R$ 8,2.0,57.0,1.0,1.0,4° a 7° andar,Mobiliado,"22.9110704,-47.0616003"
https://www.quintoandar.com.br/imovel/893996991/comprar/apartamento-2-quartos-vila-industrial-campinas-campinas,320.0,800.0,12x R$ 67,2.0,68.0,1.0,2.0,8° a 11° andar,Sem mobília,"22.9112244,-47.0711741"
https://www.quintoandar.com.br/imovel/892803644/comprar/apartamento-3-quartos-vila-industrial-campinas,395.0,650.0,12x R$ 34,3.0,81.0,1.0,2.0,4° a 7° andar,Sem mobília,"22.9127919,-47.0784218"
https://www.quintoandar.com.br/imovel/894264563/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,260.0,460.0,12x R$ 102,2.0,51.0,1.0,2.0,Até 3° andar,Sem mobília,"22.9331203,-47.0601647"
